disease,MED.DISEASES.Blood.Anemia,MED.DISEASES.Blood.Thrombosis,MED.DISEASES.Cancer.Any,MED.DISEASES.Cardiovascular.Arrythmia.MedDiagnosed,MED.DISEASES.Cardiovascular.Colesterol.high,MED.DISEASES.Cardiovascular.Heart.Attack,MED.DISEASES.Cardiovascular.Heart.Failure.Disorder,MED.DISEASES.Cardiovascular.Heartrate.complains,MED.DISEASES.Cardiovascular.Hypertension,MED.DISEASES.Endocrine.DiabetesT2,MED.DISEASES.Gastrointestinal.Stomach.Ulcer,MED.DISEASES.Hepatologic.Gallstones,MED.DISEASES.Mental.Any,MED.DISEASES.Mental.Burn.Out,MED.DISEASES.Mental.Depression,MED.DISEASES.Mental.Other.anxiety,MED.DISEASES.Mental.Panic.disorder,MED.DISEASES.Neurological.Dizziness.Falling,MED.DISEASES.Neurological.Mental.Fibromyalgia,MED.DISEASES.Neurological.Migraine,MED.DISEASES.Other.Autoimmune.Rheumatoid.Artritis,MED.DISEASES.Other.Chronic.cystitis,MED.DISEASES.Other.Chronic.Inflammation.Throatnose,MED.DISEASES.Other.Chronic.Muscle.Weakness,MED.DISEASES.Other.Fractures.Other,MED.DISEASES.Other.Incontinence,MED.DISEASES.Other.Kidney.Stones,MED.DISEASES.Other.Osteoarthritis,MED.DISEASES.Other.Osteoporosis,MED.DISEASES.Other.RSI,MED.DISEASES.Pulmonary.Autoimmune.Asthma,MED.DISEASES.Pulmonary.COPD,MED.DISEASES.Skin.Autoimmune.Atopic.dermatitis,MED.DISEASES.Skin.Autoimmune.Psoriasis,MED.DISEASES.Skin.Autoimmune.Severe.acne,MED.DISEASES.Gastrointestinal.Rome3_IBS.Any,MED.DISEASES.None.No.Diseases
MED.DISEASES.Blood.Anemia,1,0.030155518,0.023660698,0.034828556,-0.013506254,-0.026579618,-0.005956634,0.092097199,0.032507649,0.001839968,0.024063959,0.064607811,0.109039221,0.039675773,0.048660138,0.051273785,0.054330785,0.013315382,0.068923906,0.138918931,0.033217646,0.086287333,0.051093201,0.070110742,0.000555412,0.067330315,-0.011400175,0.055869733,0.039045686,0.011864857,0.019167002,0.009635455,0.103226315,0.009517194,0.060007583,0.04954944,-0.220571981
MED.DISEASES.Blood.Thrombosis,0.131026313,1,0.023773871,0.03904039,0.04208665,-0.013205939,-0.005303241,0.030620218,0.03232672,0.019818901,0.006462143,0.039995356,0.007361899,0.012085357,-0.00757754,-0.005168679,-0.011518166,0.040329377,0.028016371,0.034290659,0.022650487,0.028110373,0.018944662,0.031334163,-0.001423233,-0.016703283,0.006962136,0.035991451,0.031793733,0.017164426,0.000583128,0.022380562,0.001593836,-0.005318063,0.002060624,0.01101488,-0.080449008
MED.DISEASES.Cancer.Any,0.03546129,0.226624034,1,0.028109708,0.038071275,0.01308009,0.01263786,0.049754634,0.069191446,0.049459715,0.010831418,0.036521773,0.012596687,0.006233189,0.027784053,0.009193129,0.00062017,0.027322576,0.029459119,0.015626716,0.01053304,-0.002393887,0.007271338,0.043711851,0.016005629,0.026517544,0.006175122,0.046918007,0.035471948,0.014405418,-0.001488938,0.009383598,-0.002085583,0.021904697,0.003573849,-0.007328989,-0.030846687
MED.DISEASES.Cardiovascular.Arrythmia.MedDiagnosed,0.193567579,-0.046150939,0.136778925,1,0.103523882,0.064708964,0.129612032,0.532372297,0.131159229,0.026798928,0.012169995,0.031471627,0.034694382,0.001972252,0.019936258,0.050656492,0.038719677,0.0208024,0.045641429,0.026967152,0.029571816,0.022892773,0.02053829,0.036008072,0.036378245,0.032529839,0.004206096,0.082823057,0.065131753,0.014653819,0.021109374,0.039089408,0.004426899,0.016267709,0.003831517,0.030879848,-0.031921656
MED.DISEASES.Cardiovascular.Colesterol.high,0.193450143,0.421230238,0.265045221,0.213282273,1,0.142602774,0.037103275,0.056879725,0.221740722,0.156230572,0.068424059,0.015946189,-0.011053031,-0.013168546,0.014540965,0.009076776,0.015945249,-0.003156341,0.0302096,0.003077967,0.054309847,0.009345014,0.022085721,0.032552171,0.022120223,0.013665377,-0.012185245,0.105162898,0.038984538,0.02617894,-0.017199189,0.029387819,-0.018215797,0.04280023,0.022266321,0.002560482,-0.000645493
MED.DISEASES.Cardiovascular.Heart.Attack,0.197341627,0.32841574,0.162663503,0.079365929,0.373564307,1,0.168083212,0.022663814,0.079334063,0.07679794,0.061956924,0.027869359,0.0024413,0.010862242,0.018227457,0.000874863,-0.018752227,0.047941102,0.008725152,-0.002117823,0.036887938,-0.006546641,-0.011790273,0.020234419,0.012885469,-0.00220355,0.035322389,0.056313968,0.022825435,0.008275279,0.029946929,0.045370647,-0.018218304,0.020552805,0.001331434,0.010038823,-0.004446263
MED.DISEASES.Cardiovascular.Heart.Failure.Disorder,-0.048130674,-0.110315704,0.184315239,0.469385825,0.211727516,0.192270843,1,0.084550831,0.056191004,0.001649892,0.017863205,0.027579874,0.036073078,0.019786568,0.033567532,-0.00179908,0.017791472,0.034584597,-0.000370993,0.001309028,0.05360709,-0.016020525,0.003674331,0.041859953,0.023653607,0.009456536,0.031240328,0.046642353,0.048263613,0.020531195,0.033921135,0.011268397,-0.001198646,0.004207721,-0.001341035,0.002209006,-0.013962542
MED.DISEASES.Cardiovascular.Heartrate.complains,0.153190709,0.129439442,0.263656772,0.503906219,0.141782339,-0.089176309,0.195302052,1,0.103136481,0.015756419,0.029327314,0.041599956,0.115359516,0.062447379,0.065530459,0.086369803,0.07389527,0.042540554,0.085701175,0.105769962,0.04179267,0.014591961,0.064593938,0.073539472,0.04539768,0.060572219,0.017606792,0.101328729,0.071813398,0.03571537,0.043647035,0.042833068,0.057793647,0.017674733,0.030100679,0.093073482,-0.074581278
MED.DISEASES.Cardiovascular.Hypertension,-0.160713667,0.311167514,0.441189836,0.067813038,0.256908054,0.118532559,0.295951435,0.192350424,1,0.123094432,0.042690887,0.053836854,0.027977845,0.015000746,0.039352201,0.029929978,0.014152119,0.027451103,0.058062298,0.067281682,0.060241425,0.019092888,0.047193861,0.054660198,0.032243125,0.039541849,0.029779795,0.12308145,0.051577253,0.025129234,0.037546246,0.054798298,0.036183276,0.015961155,0.022772442,0.018545843,-0.035809857
MED.DISEASES.Endocrine.DiabetesT2,-0.068206023,0.22956123,0.508943997,0.005788497,0.321667787,0.296320774,0.201522425,0.115564757,0.432515381,1,0.014600613,0.025418831,0.011376159,0.013002155,0.030696334,-0.003955316,-0.01373949,-0.004466593,0.033260795,-0.009094034,0.03809106,0.000295113,-0.00754782,0.031366632,-0.004477513,0.001068872,0.028391768,0.031454387,0.009477975,0.010825838,0.00620797,0.052763147,-0.001597157,0.006154108,0.00706182,0.066299899,-0.003055933
